#Line     Source
7034.3516 NOAO
7067.1362 NOAO
7109.4561 NOAO
7127.7646 NOAO
7149.0107 NOAO
7175.9160 NOAO
7208.9722 NOAO
7247.1641 NOAO
7274.9404 NOAO
7283.3550 NOAO
7313.7241 NOAO
7355.3418 NOAO
7374.1489 NOAO
7386.0142 NOAO
7440.9473 NOAO
7490.9341 NOAO
7505.9336 NOAO
7516.7202 NOAO
7537.8501 NOAO
7546.1235 NOAO
7637.2065 NOAO
7672.1514 NOAO
7725.9258 NOAO
7893.2461 NOAO
7950.3608 NOAO
8008.3574 NOAO
8014.2036 NOAO
8016.9902 NOAO
8055.5220 NOAO
8084.6807 NOAO
8105.9204 NOAO
8112.2305 NOAO
8117.5430 NOAO
8266.7930 NOAO
8302.6074 NOAO
8379.9092 NOAO
8426.9619 NOAO
8497.6943 NOAO
8523.7832 NOAO
8608.1436 NOAO
8622.8379 NOAO
8637.0195 NOAO
8656.7598 NOAO
8670.3242 NOAO
8764.1260 NOAO
8783.0342 NOAO
8784.5996 NOAO
8786.1670 NOAO
8856.2969 NOAO
9077.9111 NOAO
9125.4697 NOAO
9151.1904 NOAO
9197.2031 NOAO
9227.0293 NOAO
9294.1299 NOAO
9356.7852 NOAO
9427.9648 NOAO
9536.7822 NOAO
9660.43   NIRSPEC
9787.184  NIRSPEC
9954.61   NIRSPEC
10054.8   UKIRT
10335.6   UH22
10472.9   UKIRT
10676.5   UKIRT
10776.32  KH
10809.98  KH
10815.86  KH
10819.46  KH
10825.66  KH
10832.43  KH
10864.05  KH
10870.32  KH
10883.92  KH
10888.87  KH
10895.35  KH
10926.44  KH
10953.7   UKIRT
11081.9   NOAO
11109.5   NOAO
11396.8   NOAO
11445.    NOAO
11470.7   NOAO
11491.2   NOAO
11583.5   NOAO
11671.9   NOAO
11690.8   NOAO
11722.7   NOAO
11736.4   NOAO
11887.7   NOAO
11899.9   NOAO
11946.6   NOAO
11947.1   NOAO
12029.9   NOAO
12115.6   NOAO
12143.    NOAO
12154.7   NOAO
12346.8   NOAO
12359.7   NOAO
12406.2   NOAO
12442.7   NOAO
12459.5   NOAO
12491.1   NOAO
12557.7   NOAO
12625.1   NOAO
12705.76  KH
12716.09  KH
12735.88  KH
12736.90  KH
12749.72  KH
12769.45  KH
12776.33  KH
12786.27  KH
12795.05  KH
12798.98  KH
12806.24  KH
12813.09  KH
12817.00  KH
12826.95  KH
12850.57  KH
12876.91  KH
12906.54  KH
12936.7   NOAO
12960.2   NOAO
13011.8   NOAO
13032.    NOAO
13217.6   NOAO
13231.7   NOAO
13234.5   NOAO
13276.3   NOAO
13305.9   NOAO
13316.8   NOAO
13333.8   NOAO
13370.8   NOAO
13410.2   NOAO
13503.1   NOAO
13507.9   NOAO
13547.9   NOAO
13577.3   NOAO
13603.    NOAO
13626.4   NOAO
13682.3   NOAO
13722.3   NOAO
13829.5   NOAO
13832.1   NOAO
13911.3   NOAO
13914.4   NOAO
14097.5   NOAO
14253.1   NOAO
14260.8   NOAO
14599.7   NOAO
14600.5   NOAO
14638.4   NOAO
14654.3   NOAO
14697.4   NOAO
14743.2   NOAO
15050.6   NOAO
15176.8   NOAO
15306.1   NOAO
15333.5   NOAO
15353.    NOAO
15357.3   NOAO
15406.85  KH
15450.95  KH
15559.71  KH
15739.21  KH
15904.    NOAO
15993.9   NOAO
16127.1   NOAO
16184.4   NOAO
16268.51  KH
16441.06  KH
16524.38  KH
16553.78  KH
16554.91  KH
16744.6   NOAO
16945.2   NOAO
17449.7   NOAO
17450.    NOAO
17828.9   NOAO
17919.6   NOAO
18423.2   NOAO
18432.8   NOAO
18433.4   NOAO
18434.5   NOAO
18574.0   UKIRT
18637.4   UKIRT
18750.1   UKIRT
19822.9   NOAO
19971.2   NOAO
20322.6   NOAO
20621.9   NOAO
20652.8   NOAO
20739.3   NOAO
20741.    NOAO
20816.71  KH
20991.83  KH
21041.57  KH
21242.79  KH
21338.70  KH
21540.08  KH
21675.89  KH
21770.25  KH
21947.81  KH
22045.57  KH
22083.21  KH
22118.65  KH
22215.73  KH
22260.93  KH
22539.74  KH
22978.36  KH
23139.51  KH
23787.79  KH
23851.54  KH
23911.20  KH
23973.05  KH
24019.77  KH
25132.1   NOAO
25491.6   NOAO
25512.2   NOAO
25668.    NOAO
26843.    NOAO
26917.1   NOAO
27233.    NOAO
28202.4   NOAO
28246.    NOAO
28321.8   NOAO
28435.    NOAO
28506.0   UKIRT
28538.4   NOAO
28620.2   NOAO
28697.9   NOAO
28712.8   NOAO
28782.9   NOAO
28843.1   NOAO
28989.2   NOAO
29108.5   NOAO
29134.8   NOAO
29262.9   NOAO
29280.7   NOAO
29486.0   UKIRT
29566.3   NOAO
29796.8   N/A
30101.0   UKIRT
30354.0   UKIRT
30462.1   N/A   
30552.8   N/A
30612.0   UKIRT
30996.2   N/A   
31333.    N/A
31727.3   N/A
31808.0   UKIRT
31988.0   UKIRT
32256.3   N/A  
32305.9   N/A
32333.9   N/A
32369.0   UKIRT
32882.0   UKIRT
32888.6   N/A  
33049.0   UKIRT
33078.8   N/A   
33148.4   N/A
33293.4   N/A
33489.0   UKIRT
33890.0   UKIRT
34900.0   UKIRT
34960.5   N/A   
35658.0   UKIRT
35839.0   UKIRT
36220.9   N/A   
36312.4   N/A
36390.5   N/A
36395.    N/A
36492.    N/A
36866.0   UKIRT
37013.6   N/A  
37085.9   N/A
37143.5   N/A
37186.2   N/A
37261.2   N/A
37500.0   UKIRT
38117.0   NIRSPEC
38120.7   N/A
38331.2   N/A
38419.0   NIRSPEC
39646.0   UKIRT
39664.3   N/A
39670.7   N/A
39942.0   UKIRT
40080.4   N/A  
40112.0   NIRSPEC
40164.8   N/A  
40169.7   N/A
40433.1   N/A
40524.0   NIRSPEC
40645.0   UKIRT
40879.0   NIRSPEC
41244.0   UKIRT
46279.0   UKIRT
47703.0   UKIRT
47946.0   UKIRT
